Resolution,Noise Type,Image Name,PSNR,SSIM,Correlation
1024x1024,Gaussian,agriculture-arable-clouds-countryside.png,21.098117791292662,0.2204213765829639,0.9513705046947073
1024x1024,Gaussian,allgau-eisenberg-ostallgau-bavaria-161097.png,20.60054133883775,0.49801530130244936,0.9543657047227994
1024x1024,Gaussian,amazing-animal-beautiful-beautifull.png,21.039409241527906,0.3229568578986724,0.9166955427822682
1024x1024,Gaussian,amazing-beautiful-beauty-blue.png,20.73980282030192,0.26746349978596773,0.9579097060728774
1024x1024,Poisson,agriculture-arable-clouds-countryside.png,30.42640047545258,0.7611677244480858,0.994719986572915
1024x1024,Poisson,allgau-eisenberg-ostallgau-bavaria-161097.png,27.0938190324837,0.7351345284990407,0.9882439308539565
1024x1024,Poisson,amazing-animal-beautiful-beautifull.png,31.097440217477082,0.8574455496767108,0.993076510345771
1024x1024,Poisson,amazing-beautiful-beauty-blue.png,29.755612110505425,0.7462335271167826,0.9947708265283024
1024x1024,Saltpepper,agriculture-arable-clouds-countryside.png,14.194037476504418,0.08287432652429383,0.696797359017895
1024x1024,Saltpepper,allgau-eisenberg-ostallgau-bavaria-161097.png,14.782722498239796,0.22430268976827408,0.7366407431439109
1024x1024,Saltpepper,amazing-animal-beautiful-beautifull.png,14.250380136571678,0.10973629665229268,0.5493059635776002
1024x1024,Saltpepper,amazing-beautiful-beauty-blue.png,14.631772494910749,0.09964066220698267,0.7156337931710987
1024x1024,Speckle,agriculture-arable-clouds-countryside.png,12.763648802679736,0.25650166129274615,0.7227347052714114
1024x1024,Speckle,allgau-eisenberg-ostallgau-bavaria-161097.png,9.093838346540737,0.14325768493852772,0.5098577634669484
1024x1024,Speckle,amazing-animal-beautiful-beautifull.png,14.220416062575294,0.32273368354465837,0.7692367873278326
1024x1024,Speckle,amazing-beautiful-beauty-blue.png,12.547830718519888,0.18728449128757574,0.7506036501838694
1024x1024,Uniform,agriculture-arable-clouds-countryside.png,19.817678167956224,0.17726531487512243,0.9335465056554207
1024x1024,Uniform,allgau-eisenberg-ostallgau-bavaria-161097.png,19.326333892174056,0.4434907650328237,0.9392591225372298
1024x1024,Uniform,amazing-animal-beautiful-beautifull.png,19.744881905396216,0.2651396071142778,0.8889178094988869
1024x1024,Uniform,amazing-beautiful-beauty-blue.png,19.453737769354163,0.2188597899746079,0.9436444309292669
2048x2048,Gaussian,above-adventure-aerial-air.png,20.811336708266555,0.2457910975390613,0.9381433072561371
2048x2048,Gaussian,african-daisy-flower-nature-flora-41960.png,22.04216539432009,0.24131484273926598,0.969670520923357
2048x2048,Gaussian,air-bubbles-diving-underwater-blow-62307.png,20.839404451477503,0.5298107836859977,0.9492137509523222
